name,founded_at,first_funding_at,last_funding_at
TradLinx Co.,5/22/15 12:00 AM,8/24/15 12:00 AM,8/24/15 12:00 AM
"Alleys Wonderlab, Inc.",5/22/15 12:00 AM,7/24/15 12:00 AM,8/25/15 12:00 AM
Contentmart.in,5/22/15 12:00 AM,5/22/15 12:00 AM,5/22/15 12:00 AM
Trustami,5/22/15 12:00 AM,7/1/14 12:00 AM,7/1/14 12:00 AM
YADOX,5/20/15 12:00 AM,8/28/15 12:00 AM,8/28/15 12:00 AM
corpa,5/20/15 12:00 AM,7/2/15 12:00 AM,7/2/15 12:00 AM
U-HOP,5/19/15 12:00 AM,6/15/15 12:00 AM,6/15/15 12:00 AM
Cake Technologies,5/19/15 12:00 AM,5/28/15 12:00 AM,5/28/15 12:00 AM
Misong Cancer Foundation,5/19/15 12:00 AM,2/5/15 12:00 AM,2/5/15 12:00 AM
fooji,5/18/15 12:00 AM,9/3/15 12:00 AM,9/3/15 12:00 AM
GO1,5/18/15 12:00 AM,7/29/15 12:00 AM,7/29/15 12:00 AM
Wicked Stix Cigars and Sinful Coffee,5/18/15 12:00 AM,5/15/15 12:00 AM,5/15/15 12:00 AM
Elite Card Processing,5/17/15 12:00 AM,3/17/15 12:00 AM,3/17/15 12:00 AM
Preeminent Leadership,5/17/15 12:00 AM,10/31/14 12:00 AM,10/31/14 12:00 AM
Encounter,5/15/15 12:00 AM,11/10/15 12:00 AM,11/10/15 12:00 AM
Walnut Algorithms,5/15/15 12:00 AM,7/19/15 12:00 AM,7/19/15 12:00 AM
"Hashtaggy, Inc.",5/15/15 12:00 AM,7/9/15 12:00 AM,7/9/15 12:00 AM
moblHR,5/15/15 12:00 AM,6/14/15 12:00 AM,6/14/15 12:00 AM
Yaroslav Merkulov Professional Golf Career,5/15/15 12:00 AM,5/20/15 12:00 AM,5/20/15 12:00 AM
Luma Legacy,5/15/15 12:00 AM,5/15/15 12:00 AM,5/15/15 12:00 AM
NOYSI,5/14/15 12:00 AM,6/14/15 12:00 AM,11/24/15 12:00 AM
Legend Acquisitions,5/14/15 12:00 AM,5/14/15 12:00 AM,5/14/15 12:00 AM
Medd,5/13/15 12:00 AM,7/1/15 12:00 AM,10/23/15 12:00 AM
Nudipay Mobile Payment,5/13/15 12:00 AM,8/1/13 12:00 AM,8/1/13 12:00 AM
VALOPES,5/12/15 12:00 AM,3/3/15 12:00 AM,3/3/15 12:00 AM
Instant eSports,5/11/15 12:00 AM,6/1/15 12:00 AM,11/4/15 12:00 AM
ScaleFT,5/11/15 12:00 AM,5/11/15 12:00 AM,5/11/15 12:00 AM
ANIVO,5/10/15 12:00 AM,10/2/15 12:00 AM,10/2/15 12:00 AM
Doc-Quick,5/10/15 12:00 AM,7/1/15 12:00 AM,7/1/15 12:00 AM
Astronomer,5/10/15 12:00 AM,6/22/15 12:00 AM,6/22/15 12:00 AM
fluently,5/10/15 12:00 AM,6/1/15 12:00 AM,6/1/15 12:00 AM
DIGIREP,5/8/15 12:00 AM,2/17/15 12:00 AM,2/17/15 12:00 AM
awamo,5/7/15 12:00 AM,8/10/15 12:00 AM,8/10/15 12:00 AM
Maadly,5/6/15 12:00 AM,9/12/15 12:00 AM,9/12/15 12:00 AM
Sywork,5/5/15 12:00 AM,8/5/15 12:00 AM,8/5/15 12:00 AM
Ripplear.com,5/5/15 12:00 AM,7/4/15 12:00 AM,7/13/15 12:00 AM
Otis & Friends Doggy Day Care and Hotel,5/5/15 12:00 AM,1/21/15 12:00 AM,1/21/15 12:00 AM
BigStylist,5/4/15 12:00 AM,11/8/15 12:00 AM,11/8/15 12:00 AM
collabee,5/4/15 12:00 AM,5/28/15 12:00 AM,11/11/15 12:00 AM
ENB Therapeutics,5/4/15 12:00 AM,5/16/15 12:00 AM,5/16/15 12:00 AM
MLS My Nest,5/4/15 12:00 AM,5/12/15 12:00 AM,5/12/15 12:00 AM
Tiny Texas Houses,5/2/15 12:00 AM,5/2/15 12:00 AM,5/2/15 12:00 AM
BookMyBai.com,5/1/15 12:00 AM,11/5/15 12:00 AM,11/5/15 12:00 AM
Blueline,5/1/15 12:00 AM,11/1/15 12:00 AM,11/1/15 12:00 AM
Voodoo Manufacturing,5/1/15 12:00 AM,10/6/15 12:00 AM,10/6/15 12:00 AM
"Spots Development Group, LLC",5/1/15 12:00 AM,9/18/15 12:00 AM,9/18/15 12:00 AM
Zapyle,5/1/15 12:00 AM,9/12/15 12:00 AM,9/12/15 12:00 AM
Trackbuster,5/1/15 12:00 AM,9/2/15 12:00 AM,10/5/15 12:00 AM
Ever,5/1/15 12:00 AM,8/10/15 12:00 AM,8/10/15 12:00 AM
Skilledjob,5/1/15 12:00 AM,7/26/15 12:00 AM,7/26/15 12:00 AM
Snowberg,5/1/15 12:00 AM,7/8/15 12:00 AM,7/8/15 12:00 AM
33Coupons,5/1/15 12:00 AM,7/6/15 12:00 AM,7/6/15 12:00 AM
GrowingIO,5/1/15 12:00 AM,7/3/15 12:00 AM,7/3/15 12:00 AM
Visit.org,5/1/15 12:00 AM,6/29/15 12:00 AM,11/1/15 12:00 AM
Pipelend,5/1/15 12:00 AM,6/24/15 12:00 AM,6/24/15 12:00 AM
Owners Exchange,5/1/15 12:00 AM,6/21/15 12:00 AM,6/21/15 12:00 AM
Rim Healthcare Strategies,5/1/15 12:00 AM,6/4/15 12:00 AM,6/4/15 12:00 AM
Ijendu.com,5/1/15 12:00 AM,6/3/15 12:00 AM,6/3/15 12:00 AM
YapTap Inc.,5/1/15 12:00 AM,6/1/15 12:00 AM,6/1/15 12:00 AM
Pretty Litter,5/1/15 12:00 AM,5/30/15 12:00 AM,5/30/15 12:00 AM
Rivet APP,5/1/15 12:00 AM,5/20/15 12:00 AM,5/20/15 12:00 AM
ROBOCOPPâ¢,5/1/15 12:00 AM,5/15/15 12:00 AM,8/13/15 12:00 AM
Vibrant.,5/1/15 12:00 AM,5/14/15 12:00 AM,5/14/15 12:00 AM
"Project Fly, Inc.",5/1/15 12:00 AM,5/11/15 12:00 AM,5/11/15 12:00 AM
Apposphere,5/1/15 12:00 AM,5/1/15 12:00 AM,10/1/15 12:00 AM
Henri Miller,5/1/15 12:00 AM,5/1/15 12:00 AM,5/1/15 12:00 AM
LiveBy,5/1/15 12:00 AM,5/1/15 12:00 AM,5/1/15 12:00 AM
RedCarpetUp,5/1/15 12:00 AM,5/1/15 12:00 AM,5/1/15 12:00 AM
Tripper,5/1/15 12:00 AM,5/1/15 12:00 AM,5/1/15 12:00 AM
oToBOTS,5/1/15 12:00 AM,4/22/15 12:00 AM,4/22/15 12:00 AM
ComfyLight AG,5/1/15 12:00 AM,4/4/15 12:00 AM,4/4/15 12:00 AM
We Are Content,5/1/15 12:00 AM,2/1/15 12:00 AM,2/1/15 12:00 AM
Belancer.com,5/1/15 12:00 AM,12/1/13 12:00 AM,5/15/15 12:00 AM
Sally,4/30/15 12:00 AM,6/20/15 12:00 AM,6/20/15 12:00 AM
Verve Rehab,4/30/15 12:00 AM,6/18/15 12:00 AM,6/18/15 12:00 AM
re:infer,4/30/15 12:00 AM,5/20/15 12:00 AM,5/20/15 12:00 AM
Natural Health Group,4/29/15 12:00 AM,5/23/15 12:00 AM,5/23/15 12:00 AM
Red Tulip Systems,4/29/15 12:00 AM,5/16/15 12:00 AM,5/16/15 12:00 AM
FAPL,4/28/15 12:00 AM,5/18/15 12:00 AM,5/18/15 12:00 AM
Pattypets,4/27/15 12:00 AM,10/13/15 12:00 AM,10/13/15 12:00 AM
Sothic Bioscience Limited,4/27/15 12:00 AM,4/30/15 12:00 AM,4/30/15 12:00 AM
Magic Bus,4/26/15 12:00 AM,4/3/15 12:00 AM,4/3/15 12:00 AM
Sweepest,4/25/15 12:00 AM,8/13/15 12:00 AM,8/13/15 12:00 AM
